Perioden;Regio's;Gezondheid en welzijn/Huisartsenpraktijk/Afstand tot huisartsenpraktijk (km);Gezondheid en welzijn/Huisartsenpraktijk/Aantal huisartsenpraktijken/Binnen 1 km (aantal);Gezondheid en welzijn/Huisartsenpraktijk/Aantal huisartsenpraktijken/Binnen 3 km (aantal);Gezondheid en welzijn/Huisartsenpraktijk/Aantal huisartsenpraktijken/Binnen 5 km (aantal);Gezondheid en welzijn/Huisartsenpraktijk/Afstand tot huisartsenpost (km);Gezondheid en welzijn/Afstand tot apotheek (km);Gezondheid en welzijn/Ziekenhuis (incl. buitenpolikliniek)/Afstand tot ziekenhuis (km);Gezondheid en welzijn/Ziekenhuis (excl. buitenpolikliniek)/Afstand tot ziekenhuis (km);Gezondheid en welzijn/Afstand tot consultatiebureau (km);Gezondheid en welzijn/Fysiotherapeut/Afstand tot fysiotherapeut (km);Detailhandel/Winkels dagelijkse boodschappen/Afstand tot grote supermarkt (km);Detailhandel/Winkels dagelijkse boodschappen/Afstand tot ov. dagel. levensmiddelen (km);Detailhandel/Warenhuis/Afstand tot warenhuis (km);Horeca/Cafés en dergelijke/Afstand tot café e.d. (km);Horeca/Cafetaria's en dergelijke/Afstand tot cafetaria e.d. (km);Horeca/Restaurants/Afstand tot restaurant (km);Horeca/Hotels en dergelijke/Afstand tot hotel e.d. (km);Groenvoorzieningen/Openbaar groen/Afstand tot openbaar groen totaal (km);Groenvoorzieningen/Openbaar groen/Afstand tot park of plantsoen (km);Groenvoorzieningen/Openbaar groen/Afstand tot dagrecreatief terrein (km);Groenvoorzieningen/Openbaar groen/Afstand tot bos (km);Groenvoorzieningen/Openbaar groen/Afstand tot open natuurlijk terrein/Afstand tot open nat. terrein totaal (km);Groenvoorzieningen/Openbaar groen/Afstand tot open natuurlijk terrein/Afstand tot open droog nat. terrein (km);Groenvoorzieningen/Openbaar groen/Afstand tot open natuurlijk terrein/Afstand tot open nat natuurlijk terrein (km);Groenvoorzieningen/Semi-openbaar groen/Afstand tot semi-openbaar groen totaal (km);Groenvoorzieningen/Semi-openbaar groen/Afstand tot sportterrein (km);Groenvoorzieningen/Semi-openbaar groen/Afstand tot volkstuin (km);Groenvoorzieningen/Semi-openbaar groen/Afstand tot verblijfsrecreatief terrein (km);Groenvoorzieningen/Semi-openbaar groen/Afstand tot begraafplaats (km);Groenvoorzieningen/Afstand tot recreatief binnenwater (km);Vrije tijd en cultuur/Afstand tot bibliotheek (km);Vrije tijd en cultuur/Sport/Afstand tot zwembad (km);Vrije tijd en cultuur/Sport/Afstand tot kunstijsbaan (km);Vrije tijd en cultuur/Museum/Afstand tot museum (km);Vrije tijd en cultuur/Podiumkunsten (excl. festivals)/Afstand tot podiumkunsten totaal (km);Vrije tijd en cultuur/Podiumkunsten (excl. festivals)/Aantal podiumkunsten totaal/Binnen 5 km (aantal);Vrije tijd en cultuur/Podiumkunsten (excl. festivals)/Aantal podiumkunsten totaal/Binnen 10 km (aantal);Vrije tijd en cultuur/Podiumkunsten (excl. festivals)/Aantal podiumkunsten totaal/Binnen 20 km (aantal);Vrije tijd en cultuur/Podiumkunsten (excl. festivals)/Afstand tot poppodium (km);Vrije tijd en cultuur/Bioscoop/Afstand tot bioscoop (km);Vrije tijd en cultuur/Recreatie/Afstand tot sauna (km);Vrije tijd en cultuur/Recreatie/Afstand tot zonnebank (km);Vrije tijd en cultuur/Recreatie/Afstand tot attractie (km)
2016;Hof van Twente;     1.6;     1.1;     2.8;     3.7;    11.9;     1.7;     4.3;    12.9;       .;       .;     1.2;     1.2;     2.7;     1.4;     1.0;     1.0;     2.8;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     2.0;     6.0;    19.5;     2.7;     4.7;     0.4;     1.7;    11.4;    15.2;    12.9;    14.5;     9.4;    13.4
2017;Hof van Twente;     1.6;     1.1;     2.8;     3.7;       .;     1.7;     4.3;    12.9;       .;       .;     1.2;     1.3;     2.7;     1.6;     1.0;     1.0;     2.8;     0.6;     2.2;     6.6;     0.9;     2.7;     3.4;     3.5;     0.8;     1.0;     3.2;     2.1;     2.0;     3.5;     2.0;     6.0;    19.6;     2.7;     4.7;     0.4;     1.7;    11.4;    15.3;    13.0;    14.5;     9.6;    13.5
2018;Hof van Twente;     1.7;     1.3;     3.1;     3.9;    12.3;     1.7;     4.3;    12.9;       .;       .;     1.3;     1.3;     2.7;     1.6;     1.0;     1.0;     2.8;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     2.1;     6.0;    19.6;     3.1;     4.7;     0.4;     1.7;    11.1;    15.2;    13.0;    14.5;     9.3;    13.5
2019;Hof van Twente;     1.7;     1.3;     3.1;     3.9;    12.3;     1.7;     8.9;    12.9;       .;       .;     1.3;     1.3;     2.7;     1.6;     1.0;     1.1;     2.8;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     2.1;     5.9;    19.2;     3.1;     4.7;     0.4;     1.7;    11.2;    15.1;    14.6;    14.5;     9.2;    13.4
2020;Hof van Twente;     1.7;     0.8;     1.6;     2.2;    12.3;     1.7;     8.9;    12.9;       .;       .;     1.3;     1.2;     2.7;     1.5;     1.0;     1.0;     2.8;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     2.1;     6.0;    19.2;     3.1;     4.7;     0.4;     1.7;    11.2;    15.1;    14.5;    14.5;     8.9;    13.3
2021;Hof van Twente;     1.7;     0.8;     1.6;     2.2;    12.3;     1.7;     8.9;    12.9;       .;       .;     1.3;     1.3;     2.7;     1.5;     1.0;     1.0;     2.9;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     2.1;     6.0;    19.2;     3.1;     4.7;     0.4;     1.7;    11.1;    15.1;    14.5;    14.5;     9.1;    13.3
2016;Horst aan de Maas;     1.4;     0.7;     1.8;     2.7;    10.8;     2.2;     4.8;    12.3;       .;       .;     1.3;     1.3;     4.7;     0.8;     0.7;     1.1;     2.8;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     3.6;     4.4;    45.9;     4.0;    11.4;     0.0;     0.3;     3.0;    13.9;    11.0;     9.8;    13.3;     9.0
2017;Horst aan de Maas;     1.4;     0.7;     1.8;     2.7;       .;     2.2;     4.8;    12.3;       .;       .;     1.3;     1.3;     4.7;     0.8;     0.8;     1.1;     2.8;     0.8;     3.6;     3.1;     0.9;     3.1;     3.8;     3.8;     0.8;     1.0;     4.9;     2.2;     3.9;     3.4;     3.6;     4.4;    46.0;     4.0;    11.2;     0.0;     0.3;     3.7;    13.9;    11.0;     9.9;    13.4;     9.0
2018;Horst aan de Maas;     1.5;     0.7;     1.7;     2.6;    10.7;     2.0;     4.8;    12.4;       .;       .;     1.6;     1.3;     4.7;     0.8;     0.8;     1.1;     2.8;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     3.6;     4.4;    46.0;     4.1;    11.2;     0.0;     0.3;     3.7;    14.4;    11.0;     9.9;    11.1;     8.6
2019;Horst aan de Maas;     1.5;     0.7;     1.7;     2.6;    10.7;     3.5;     4.8;    12.2;       .;       .;     1.5;     1.4;     4.6;     0.8;     0.8;     1.2;     2.7;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     3.6;     4.4;    45.9;     4.0;    10.9;     0.0;     0.3;     3.7;    14.3;    10.9;     9.8;    11.1;     8.6
2020;Horst aan de Maas;     1.5;     0.7;     1.7;     2.6;    10.8;     3.6;     4.8;    12.2;       .;       .;     1.5;     1.5;     4.6;     0.8;     0.8;     1.2;     3.2;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     3.6;     4.4;    45.9;     4.0;    10.9;     0.0;     0.3;     3.7;    14.3;    10.9;     9.6;    10.9;     8.6
2021;Horst aan de Maas;     1.5;     0.7;     1.7;     2.6;    10.8;     3.6;     4.8;    12.2;       .;       .;     1.4;     1.4;     4.6;     0.8;     0.8;     1.2;     3.0;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     3.7;     4.4;    46.0;     4.0;    10.9;     0.0;     0.3;     3.7;    14.3;    11.0;    11.1;    10.9;     8.6
2016;Hunsel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2017;Hunsel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2018;Hunsel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Hunsel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Hunsel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;Hunsel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2016;Kampen;     1.4;     1.1;     5.3;     7.3;    16.1;     1.4;     2.7;    17.7;       .;       .;     1.2;     1.1;     2.6;     1.9;     1.2;     1.4;     2.3;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     1.9;     1.9;    17.4;     2.3;     2.4;     0.9;     1.1;     5.9;    14.9;     2.4;    18.8;     2.4;    16.1
2017;Kampen;     1.4;     1.1;     5.3;     7.3;       .;     1.4;     2.7;    17.7;       .;       .;     1.2;     1.2;     2.6;     1.9;     1.2;     1.4;     2.3;     0.5;     1.0;     2.2;     2.1;     1.8;     6.9;     1.8;     0.8;     0.9;     1.7;     3.4;     2.1;     1.8;     2.2;     1.9;    17.3;     2.3;     2.4;     0.9;     1.1;     5.9;    14.9;     2.4;    18.7;     2.4;    14.6
2018;Kampen;     1.4;     1.1;     5.3;     7.3;    16.1;     1.4;     2.7;    17.7;       .;       .;     1.2;     1.2;     2.4;     1.8;     1.2;     1.3;     2.3;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     2.2;     2.0;    17.3;     2.4;     2.4;     0.9;     1.1;     5.9;    14.9;     2.4;    18.8;     2.3;    14.6
2019;Kampen;     1.4;     1.1;     5.3;     7.3;    15.8;     1.4;     2.6;    17.2;       .;       .;     1.1;     1.2;     2.4;     1.8;     1.2;     1.3;     2.4;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     2.2;     1.9;    17.3;     2.3;     2.4;     0.9;     1.1;     5.9;    14.8;     2.4;    18.7;     2.3;    14.6
2020;Kampen;     1.5;     1.1;     5.3;     7.3;    15.9;     1.4;     2.6;    17.2;       .;       .;     1.1;     1.2;     2.4;     1.8;     1.2;     1.4;     2.4;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     2.2;     2.0;    17.3;     2.3;     2.4;     0.9;     1.1;     5.9;    14.8;     2.4;    18.7;     2.3;    14.6
2021;Kampen;     1.5;     1.0;     5.2;     7.3;    15.9;     1.4;     2.6;    17.2;       .;       .;     1.1;     1.2;     2.4;     1.8;     1.1;     1.2;     2.4;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     2.2;     2.0;    17.3;     2.4;     2.4;     0.9;     1.1;     5.9;    14.8;     2.4;    18.7;     2.3;    13.5
2016;Kerkrade;     0.8;     1.5;     5.7;    13.3;     7.2;     0.8;     2.3;     7.2;       .;       .;     0.9;     0.5;     5.9;     0.4;     0.4;     0.5;     1.3;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     1.2;     2.3;    22.3;     2.0;     2.3;     2.1;     3.9;     4.8;     7.4;     4.8;     3.4;     2.0;     2.4
2017;Kerkrade;     0.8;     1.5;     5.6;    13.2;       .;     0.8;     2.3;     7.2;       .;       .;     0.9;     0.5;     5.9;     0.4;     0.4;     0.5;     1.3;     0.3;     0.3;     1.7;     0.9;     5.6;     7.7;     5.6;     0.6;     0.7;     2.6;     5.0;     1.0;     2.5;     1.2;     2.3;    22.3;     2.0;     2.3;     1.1;     2.9;     3.8;     7.4;     4.8;     3.4;     2.0;     2.4
2018;Kerkrade;     0.8;     1.5;     5.6;    13.0;     7.3;     0.8;     2.3;     7.3;       .;       .;     0.9;     0.4;     5.9;     0.4;     0.4;     0.6;     1.3;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     1.2;     2.4;    22.3;     2.6;     2.4;     1.1;     2.9;     3.7;     7.4;     4.8;     3.5;     2.0;     2.4
2019;Kerkrade;     0.8;     1.6;     5.7;    13.2;     7.2;     0.8;     2.3;     7.2;       .;       .;     0.9;     0.4;     5.9;     0.4;     0.4;     0.6;     1.3;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     1.3;     2.3;    22.2;     2.6;     2.3;     1.1;     2.9;     3.8;     7.3;     4.7;     3.5;     1.8;     2.6
2020;Kerkrade;     0.8;     1.2;     4.5;    11.1;     7.2;     0.8;     2.3;     7.2;       .;       .;     0.8;     0.5;     2.3;     0.4;     0.4;     0.6;     1.3;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     1.3;     2.3;    22.2;     2.6;     2.3;     1.1;     2.9;     3.8;     7.3;     4.7;     3.5;     1.8;     2.6
2021;Kerkrade;     0.8;     1.3;     5.2;    11.9;     7.3;     1.0;     2.3;     7.3;       .;       .;     0.8;     0.5;     2.3;     0.4;     0.4;     0.6;     1.3;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     1.3;     2.4;    22.2;     2.6;     2.3;     1.1;     2.9;     3.8;     7.3;     4.7;     3.5;     1.9;     2.6
2016;Kessel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2017;Kessel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2018;Kessel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Kessel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Kessel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;Kessel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2016;Landgraaf;     0.7;     1.2;     6.8;    16.7;     7.2;     1.0;     5.9;     7.2;       .;       .;     0.9;     0.5;     2.0;     0.6;     0.5;     0.6;     2.8;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     1.1;     2.0;    18.5;     4.6;     4.6;     1.1;     4.0;     6.9;     4.7;     4.8;     6.0;     1.3;     3.2
2017;Landgraaf;     0.7;     1.2;     6.8;    16.7;       .;     1.0;     5.9;     7.2;       .;       .;     0.9;     0.5;     2.0;     0.6;     0.5;     0.6;     2.8;     0.5;     0.8;     2.7;     0.7;     2.5;     3.4;     3.6;     0.6;     0.6;     3.5;     2.2;     3.1;     3.7;     1.1;     2.0;    18.5;     4.6;     4.6;     1.1;     3.0;     5.9;     4.7;     4.8;     6.0;     1.3;     3.2
2018;Landgraaf;     0.7;     1.2;     6.7;    16.6;     7.2;     1.0;     5.9;     7.2;       .;       .;     0.9;     0.5;     2.0;     0.5;     0.5;     0.6;     2.8;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     1.1;     2.0;    18.5;     4.8;     4.6;     1.1;     3.0;     5.9;     4.7;     4.8;     6.0;     1.3;     3.2
2019;Landgraaf;     0.7;     1.2;     6.8;    16.7;     7.1;     1.0;     5.7;     7.1;       .;       .;     0.9;     0.5;     2.0;     0.5;     0.5;     0.6;     2.8;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     1.5;     2.0;    18.4;     4.7;     4.6;     1.1;     3.0;     5.9;     4.7;     4.7;     6.0;     1.3;     2.8
2020;Landgraaf;     0.7;     1.2;     6.8;    15.7;     7.1;     1.0;     5.8;     7.1;       .;       .;     0.9;     0.5;     2.0;     0.5;     0.5;     0.6;     2.8;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     1.5;     2.0;    18.4;     4.7;     4.6;     1.1;     3.0;     5.9;     4.7;     4.7;     6.0;     1.3;     2.9
2021;Landgraaf;     0.7;     1.2;     6.7;    15.3;     7.1;     1.0;     5.8;     7.1;       .;       .;     0.9;     0.7;     2.0;     0.6;     0.5;     0.6;     2.8;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     1.5;     2.0;    18.4;     4.7;     4.6;     1.1;     3.0;     5.9;     4.7;     4.7;     6.2;     2.1;     2.9
2016;Leudal;     1.1;     1.0;     2.0;     4.7;    10.9;     1.8;     9.8;    10.5;       .;       .;     1.1;     0.8;     5.0;     0.9;     0.8;     0.8;     2.3;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     1.3;     3.9;    35.9;     4.2;    10.5;     0.1;     1.3;     5.0;    11.2;     9.2;     6.5;     9.3;     9.9
2017;Leudal;     1.0;     1.0;     2.0;     4.7;       .;     1.5;     9.8;    10.9;       .;       .;     1.1;     0.8;     5.0;     0.9;     0.8;     0.8;     2.3;     0.5;     2.2;     3.5;     0.7;     2.3;     3.2;     3.0;     0.8;     0.9;     5.6;     1.8;     4.4;     4.4;     1.9;     3.8;    35.9;     4.2;     9.6;     0.1;     1.3;     4.8;    11.2;     9.2;     6.5;     9.3;    12.5
2018;Leudal;     1.1;     1.0;     2.0;     4.7;    11.1;     1.5;     9.8;    10.9;       .;       .;     1.1;     0.8;     5.0;     0.9;     0.8;     0.8;     2.3;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     1.9;     3.9;    35.9;     4.2;     9.7;     0.1;     1.3;     4.8;    11.2;     9.3;     6.5;     9.4;    12.6
2019;Leudal;     1.0;     1.0;     2.0;     4.9;    10.7;     1.5;     9.5;    10.5;       .;       .;     1.1;     0.8;     5.0;     0.9;     0.9;     0.8;     2.3;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     1.7;     3.9;    35.7;     4.1;     9.4;     0.2;     1.3;     4.8;    10.8;     8.9;     6.5;     9.0;    12.4
2020;Leudal;     1.4;     0.9;     1.9;     4.5;    10.7;     1.5;     9.5;    10.6;       .;       .;     1.1;     0.8;     5.0;     0.9;     0.9;     0.8;     2.3;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     1.7;     3.9;    35.9;     4.1;     9.4;     0.2;     1.3;     4.8;    10.9;     8.9;     6.5;     8.9;    10.9
2021;Leudal;     1.4;     0.9;     1.9;     4.4;    10.9;     1.5;     7.7;    10.7;       .;       .;     1.1;     0.8;     5.0;     0.9;     0.9;     0.8;     2.3;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     1.8;     3.9;    36.0;     4.2;     9.6;     0.1;     1.3;     5.5;    10.6;     8.9;     6.5;     9.1;     9.6
2016;Losser;     1.2;     1.0;     2.2;     4.5;     8.6;     1.6;     2.9;    12.2;       .;       .;     1.1;     0.9;     2.5;     1.2;     0.9;     0.9;     1.9;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     1.2;     3.0;    16.0;     8.3;     8.7;     0.1;     3.6;    10.1;    11.2;    11.3;     8.3;     6.5;    12.5
2017;Losser;     1.2;     1.0;     2.2;     4.5;       .;     1.6;     2.9;    12.2;       .;       .;     1.2;     0.9;     2.5;     1.2;     0.9;     0.9;     1.9;     0.6;     2.7;     5.7;     0.8;     1.5;     1.7;     2.1;     0.6;     0.9;     4.0;     3.1;     1.1;     3.1;     1.9;     3.0;    16.0;     8.3;     8.7;     0.1;     3.5;    10.1;    11.2;    11.3;     8.3;     6.5;    12.5
2018;Losser;     1.2;     1.0;     2.2;     4.5;     8.6;     1.1;     8.5;    12.2;       .;       .;     1.1;     1.1;     2.5;     1.2;     0.9;     0.8;     1.9;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     1.8;     3.0;    16.0;     8.3;     8.7;     0.1;     3.1;     9.1;    17.7;    11.3;     8.3;     6.5;    12.5
2019;Losser;     1.2;     1.0;     2.2;     4.5;     8.4;     1.1;     8.4;    12.2;       .;       .;     1.1;     1.1;     2.5;     1.7;     0.9;     0.8;     1.9;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     1.9;     3.0;    15.7;     8.3;     3.1;     0.8;     4.0;    10.1;    17.6;    11.2;     8.3;     6.5;    12.3
2020;Losser;     1.2;     0.9;     1.9;     3.7;    12.0;     1.2;     8.4;    12.0;       .;       .;     1.1;     1.4;     2.5;     1.7;     0.9;     0.8;     1.9;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     1.9;     3.0;    15.6;     8.3;     3.0;     0.8;     4.1;    10.1;    17.6;    11.3;     8.3;     6.5;    12.3
2021;Losser;     1.2;     0.8;     1.7;     3.0;    12.1;     1.2;     8.4;    12.1;       .;       .;     1.2;     1.4;     2.5;     1.7;     0.9;     0.8;     1.9;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     1.9;     3.0;    15.7;     8.3;     3.1;     0.8;     4.0;    10.1;    17.7;    11.3;     8.3;     6.5;    12.4
2016;Maasbracht;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2017;Maasbracht;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2018;Maasbracht;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Maasbracht;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Maasbracht;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;Maasbracht;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2016;Maasbree;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2017;Maasbree;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2018;Maasbree;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Maasbree;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Maasbree;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;Maasbree;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2016;Maasgouw;     0.8;     1.0;     2.0;     5.4;    10.7;     1.2;     7.4;    10.6;       .;       .;     1.5;     0.6;     3.9;     0.6;     0.5;     0.7;     1.4;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     1.0;     4.6;    25.4;     3.0;     9.9;     0.0;     1.8;     5.4;     9.9;     7.2;     9.4;     3.9;     7.3
2017;Maasgouw;     0.8;     1.0;     2.0;     5.4;       .;     0.9;     7.5;    10.7;       .;       .;     1.5;     0.6;     3.9;     0.6;     0.5;     0.7;     1.4;     0.4;     1.6;     1.6;     0.9;     3.0;     3.7;     4.9;     0.6;     0.8;     8.9;     1.6;     3.3;     1.9;     1.8;     4.6;    25.4;     3.0;     9.9;     0.0;     1.5;     4.5;     9.9;     7.3;     9.4;     3.9;     8.3
2018;Maasgouw;     0.8;     1.0;     2.0;     5.4;    10.8;     0.9;     7.4;    10.6;       .;       .;     1.5;     0.6;     3.9;     0.6;     0.5;     0.7;     1.4;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     1.8;     4.5;    25.5;     3.0;     9.9;     0.0;     1.5;     4.5;     9.9;     7.3;     9.4;     3.9;     8.3
2019;Maasgouw;     0.8;     1.1;     2.0;     5.7;    10.8;     0.9;     6.9;    10.7;       .;       .;     1.5;     0.6;     3.9;     0.6;     0.5;     0.7;     1.3;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     1.7;     4.5;    25.6;     3.0;     9.9;     0.0;     1.6;     4.5;     9.9;     7.2;     9.2;     3.9;     8.2
2020;Maasgouw;     1.1;     0.9;     1.7;     4.4;    10.8;     1.2;     6.9;    10.7;       .;       .;     1.5;     0.6;     3.9;     0.6;     0.5;     0.7;     1.3;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     1.7;     4.5;    25.7;     3.0;     9.9;     0.0;     1.6;     4.5;     9.9;     7.2;     9.2;     4.0;     7.9
2021;Maasgouw;     1.1;     0.9;     1.8;     4.4;    10.8;     1.2;     5.1;    10.7;       .;       .;     1.5;     0.6;     3.9;     0.6;     0.5;     0.7;     1.3;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     1.7;     4.5;    25.8;     3.0;     9.9;     0.0;     1.6;     4.8;     9.9;     7.3;     9.2;     3.9;     7.3
2016;Maastricht;     0.6;     2.0;    12.5;    23.8;     3.7;     0.8;     1.7;     3.7;       .;       .;     0.6;     0.4;     1.6;     0.6;     0.5;     0.6;     1.5;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     1.8;     3.9;    18.6;     2.1;     2.2;     3.2;     4.3;     5.3;     3.1;     2.5;     9.4;     1.5;     6.5
2017;Maastricht;     0.6;     2.0;    12.4;    23.8;       .;     0.8;     1.7;     3.7;       .;       .;     0.6;     0.4;     1.6;     0.6;     0.5;     0.7;     1.5;     0.4;     0.4;     2.2;     1.8;     5.4;     5.6;     8.3;     0.7;     0.8;     1.8;     3.3;     1.6;     3.3;     1.8;     3.9;    18.6;     2.1;     2.2;     3.2;     4.3;     5.3;     3.1;     2.5;     9.4;     1.5;     6.5
2018;Maastricht;     0.6;     2.0;    11.9;    23.0;     3.8;     0.8;     1.8;     3.8;       .;       .;     0.6;     0.5;     1.6;     0.6;     0.5;     0.7;     1.5;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     1.8;     3.9;    18.7;     2.2;     2.2;     3.2;     4.3;     5.2;     3.1;     2.5;     9.5;     1.5;     6.6
2019;Maastricht;     0.6;     2.2;    12.7;    24.3;     3.8;     0.8;     1.7;     3.8;       .;       .;     0.7;     0.5;     1.6;     0.6;     0.5;     0.6;     1.5;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     1.8;     3.8;    18.4;     2.2;     2.2;     3.2;     4.3;     5.3;     3.1;     2.5;     7.5;     1.4;     6.5
2020;Maastricht;     0.6;     2.0;    10.9;    20.7;     3.8;     0.8;     1.7;     3.8;       .;       .;     0.6;     0.6;     1.6;     0.6;     0.5;     0.6;     1.5;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     1.8;     3.8;    18.4;     2.2;     2.2;     3.3;     4.3;     5.3;     3.0;     2.5;     7.5;     1.6;     6.5
2021;Maastricht;     0.6;     2.0;    10.8;    20.7;     3.7;     0.9;     1.7;     3.7;       .;       .;     0.6;     0.6;     1.6;     0.6;     0.5;     0.6;     1.4;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     1.8;     3.8;    18.4;     2.2;     2.2;     3.2;     4.3;     5.3;     3.0;     3.0;     7.5;     1.7;     6.5
2016;Margraten;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2017;Margraten;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2018;Margraten;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Margraten;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Margraten;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
